OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Fraunceys Petrak, the lauriat poete","Fraunceis Petrark, the laureat° poete",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 31,DIFF,10,10,Fraunceys Petrak the lauriat poete,Fraunceis Petrark the laureat poete,uS uS u SuS uSx,uS uS u SuS uSx,fraunceys@n#propn petrak@n#propn the@def_art laureate@adj poete@n,fraunceys@n#propn petrak@n#propn the@def_art laureate@adj poete@n,green
"Highte this clerk, whos rethorike sweete","Highte this clerk,° whos rethorike sweete",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 32,,9,9,Highte this clerk whos rethorike sweete,Highte this clerk whos rethorike sweete,Sx u S u SuSu Sx,Sx u S u SuSu Sx,hoten@v1%pt_3 this@gram_adj clerk@n whos@pron%gen rethorike@n swete@adj,hoten@v1%pt_3 this@gram_adj clerk@n whos@pron%gen rethorike@n swete@adj,
Enlumyned al Ytaille of poetrie,Enlumined al Itaille of° poetrie,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 33,,10,10,Enlumyned al Ytaille of poetrie,Enlumined al Itaille of poetrie,uSux S uSx u SuS,uSux S uSx u SuS,enluminen@v%pt_3 al@gram_adj itaille@n#propn of@prep poetrie@n,enluminen@v%pt_3 al@gram_adj itaille@n#propn of@prep poetrie@n,
As Lynyan dide of philosophie,As Linian° dide of philosophie,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 34,,10,10,As Lynyan dide of philosophie,As Linian dide of philosophie,u SuS ux S uSuS,u SuS ux S uSuS,as@conj linian@n#propn don@v1%pt_3 of@prep philosophie@n,as@conj linian@n#propn don@v1%pt_3 of@prep philosophie@n,
"Or lawe, or oother art particuler;","Or lawe, or other art particuler;",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 35,,10,10,Or lawe or oother art particuler,Or lawe or other art particuler,u Sx u Su S uSuS,u Sx u Su S uSuS,or@conj laue@n or@conj other@gram_adj art@n1 particuler@adj,or@conj laue@n or@conj other@gram_adj art@n1 particuler@adj,
"But Deeth, that wol nat suffre us dwellen heer","But deeth, that wol nat suffre us dwellen heer",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 36,,10,10,But Deeth that wol nat suffre us dwellen heer,But deeth that wol nat suffre us dwellen heer,u S u S u Sx u Su S,u S u S u Sx u Su S,but@conj deth@n#propn that@pron willen@v%pr_3 not@adv sufferen@v%inf us@pron%pl_obj dwellen@v%inf her@adv,but@conj deth@n#propn that@pron willen@v%pr_3 not@adv sufferen@v%inf us@pron%pl_obj dwellen@v%inf her@adv,
But as it were a twynklyng of an ye,But as it were a twinkling of an eye,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 37,,10,10,But as it were a twynklyng of an ye,But as it were a twinkling of an eye,u S u Sx u Su S u S,u S u Sx u Su S u S,but@conj as@conj hit@pron ben@v%pt_3 a@indef_art twinklinge@ger of@prep a@indef_art eie@n1,but@conj as@conj hit@pron ben@v%pt_3 a@indef_art twinklinge@ger of@prep a@indef_art eie@n1,
"Hem bothe hath slayn, and alle shul we dye.","Hem bothe hath slain, and alle shul we die.",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 38,,10,10,Hem bothe hath slayn and alle shul we dye,Hem bothe hath slain and alle shul we die,u Sx u S u Su S u S,u Sx u S u Su S u S,hem@pron%pl_obj bothe@num_adj haven@v%pr_3 slen@v%ppl and@conj al@gram_adj shulen@v1%pr_pl we@pron%pl_nom dien@v%inf,hem@pron%pl_obj bothe@num_adj haven@v%pr_3 slen@v%ppl and@conj al@gram_adj shulen@v1%pr_pl we@pron%pl_nom dien@v%inf,
But forth to tellen of this worthy man,But forth to tellen of this worthy man,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 39,,10,10,But forth to tellen of this worthy man,But forth to tellen of this worthy man,u S u Su S u Su S,u S u Su S u Su S,but@conj forth@adv to@part tellen@v%inf of@prep this@gram_adj worthi@adj man@n,but@conj forth@adv to@part tellen@v%inf of@prep this@gram_adj worthi@adj man@n,
"That taughte me this tale, as I bigan","That taughte me this tale, as I bigan",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 40,,10,10,That taughte me this tale as I bigan,That taughte me this tale as I bigan,u Su S u Sx u S uS,u Su S u Sx u S uS,that@pron techen@v%pt_3 me@pron2%obj this@gram_adj tale@n as@conj ich@pron%nom biginnen@v%pt_1,that@pron techen@v%pt_3 me@pron2%obj this@gram_adj tale@n as@conj ich@pron%nom biginnen@v%pt_1,
I seye that first with heigh stile he enditeth,"I seye that first with heigh style he enditeth,°",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 41,,10,10,I seye that first with heigh stile he enditeth,I seye that first with heigh style he enditeth,u S u S u S ux S uSx,u S u S u S ux S uSx,ich@pron%nom seien@v1%pr_1 that@conj first@adv with@prep heigh@adj stile@n2 he@pron1%nom enditen@v%pr_3,ich@pron%nom seien@v1%pr_1 that@conj first@adv with@prep heigh@adj stile@n2 he@pron1%nom enditen@v%pr_3,
Er he the body of his tale writeth,Er he the body of his tale writeth,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 42,,10,10,Er he the body of his tale writeth,Er he the body of his tale writeth,u S u Su S u Sx uS,u S u Su S u Sx uS,er@conj1 he@pron1%nom the@def_art bodi@n of@prep his@pron1%gen tale@n writen@v%pr_3,er@conj1 he@pron1%nom the@def_art bodi@n of@prep his@pron1%gen tale@n writen@v%pr_3,
"A prohemye, in the which discryveth he","A proheme,° in the which discriveth he",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 43,,0,10,A prohemye in the which discryveth he,A proheme in the which discriveth he,"      ",u Sux S u S uSu S,a@indef_art prohemie@n in@prep the@def_art which@pron descriven@v%pr_3 he@pron1%nom,a@indef_art prohemie@n in@prep the@def_art which@pron descriven@v%pr_3 he@pron1%nom,
Pemond and of Saluces the contree,"Pemond,° and of Saluces° the contree",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 44,,10,10,Pemond and of Saluces the contree,Pemond and of Saluces the contree,uS u S uSu S uS,uS u S uSu S uS,pemond@n#propn and@conj of@prep saluce@n#propn the@def_art contree@n,pemond@n#propn and@conj of@prep saluce@n#propn the@def_art contree@n,
"And speketh of Apennyn, the hilles hye","And speketh of Apennin,° the hilles hie",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 45,,10,10,And speketh of Apennyn the hilles hye,And speketh of Apennin the hilles hie,u Su S uSu S ux S,u Su S uSu S ux S,and@conj speken@v%pr_3 of@prep apennin@n#propn the@def_art hille@n%pl heigh@adj,and@conj speken@v%pr_3 of@prep apennin@n#propn the@def_art hille@n%pl heigh@adj,
That been the boundes of West Lumbardye,That been the boundes of West Lumbardie,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 46,,0,10,That been the boundes of West Lumbardye,That been the boundes of West Lumbardie,"      ",u S u Su S u SuS,that@pron ben@v%pr_pl the@def_art bounde@n%pl of@prep west@adj lombardie@n#propn,that@pron ben@v%pr_pl the@def_art bounde@n%pl of@prep west@adj lombardie@n#propn,
And of Mount Vesulus in special,And of Mount Vesulus in special,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 47,,10,10,And of Mount Vesulus in special,And of Mount Vesulus in special,u S u SuS u SuS,u S u SuS u SuS,and@conj of@prep mount@n1 vesulus@n#propn in@prep speciale@n,and@conj of@prep mount@n1 vesulus@n#propn in@prep speciale@n,
Where as the Poo out of a welle smal,"Where as the Poo,° out of a welle° smal",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 48,,10,10,Where as the Poo out of a welle smal,Where as the Poo out of a welle smal,ux S u S u S u Su S,ux S u S u S u Su S,wher@adv&conj as@conj the@def_art poo@n#propn oute@adv#prep of@prep a@indef_art welle@n smal@adj,wher@adv&conj as@conj the@def_art poo@n#propn oute@adv#prep of@prep a@indef_art welle@n smal@adj,
