Source_File,Tag,Ending,Count,Percent
LGW_gui_complete.csv,v%pt_2,other,1,8.33%
LGW_gui_complete.csv,v%pt_2,-e,2,16.67%
LGW_gui_complete.csv,v%pr_2,-est,5,21.74%
LGW_gui_complete.csv,v%pr_2,-t,14,60.87%
LGW_gui_complete.csv,v%pr_2,other,3,13.04%
LGW_gui_complete.csv,v%pr_2,-e,1,4.35%
LGW_gui_complete.csv,v%prp_abs,-ing,6,85.71%
LGW_gui_complete.csv,v%prp_abs,-e,1,14.29%
LGW_gui_complete.csv,v%pr_1_neg,other,2,50.00%
LGW_gui_complete.csv,v%pr_1_neg,-t,2,50.00%
LGW_gui_complete.csv,v#adj%prp,-ing,2,100.00%
LGW_gui_complete.csv,v#adj%ppl,-ed,2,50.00%
LGW_gui_complete.csv,v#adj%ppl,-te,1,25.00%
LGW_gui_complete.csv,v#adj%ppl,-et,1,25.00%
LGW_gui_complete.csv,v%pr_2_pron,other,3,100.00%
LGW_gui_complete.csv,v%prp,-ing,1,100.00%
LGW_gui_complete.csv,v%pt_1_neg,-de,1,50.00%
LGW_gui_complete.csv,v%pt_1_neg,-d,1,50.00%
FriPro_gui_complete.csv,v#adj%prp,-ing,1,100.00%
FriPro_gui_complete.csv,v%pt_3,other,1,33.33%
FriPro_gui_complete.csv,v%pt_3,-d,2,66.67%
FriPro_gui_complete.csv,v%pr_3,-e,2,22.22%
FriPro_gui_complete.csv,v%pr_3,-eth,2,22.22%
FriPro_gui_complete.csv,v%pr_3,other,4,44.44%
FriPro_gui_complete.csv,v%pr_3,-t,1,11.11%
FriPro_gui_complete.csv,v%pr_pl,-n,2,50.00%
FriPro_gui_complete.csv,v%pr_pl,-en,1,25.00%
FriPro_gui_complete.csv,v%pr_pl,other,1,25.00%
FriPro_gui_complete.csv,v%ppl,-d,1,100.00%
FriPro_gui_complete.csv,v%inf,-en,2,25.00%
FriPro_gui_complete.csv,v%inf,-e,5,62.50%
FriPro_gui_complete.csv,v%inf,other,1,12.50%
FriPro_gui_complete.csv,v%pr_1,other,2,100.00%
FriPro_gui_complete.csv,v%pt_pl,-d,1,100.00%
FriPro_gui_complete.csv,v%imp,-eth,1,33.33%
FriPro_gui_complete.csv,v%imp,-t,1,33.33%
FriPro_gui_complete.csv,v%imp,other,1,33.33%
FriPro_gui_complete.csv,v1#adj%prp,-ing,1,100.00%
FriPro_gui_complete.csv,v%pt_1,-de,1,100.00%
TC2_gui_complete.csv,v%pr_3,-eth,64,16.98%
TC2_gui_complete.csv,v%pr_3,other,220,58.36%
TC2_gui_complete.csv,v%pr_3,-e,44,11.67%
TC2_gui_complete.csv,v%pr_3,-n,10,2.65%
TC2_gui_complete.csv,v%pr_3,-t,26,6.90%
TC2_gui_complete.csv,v%pr_3,-ede,3,0.80%
TC2_gui_complete.csv,v%pr_3,-ed,1,0.27%
TC2_gui_complete.csv,v%pr_3,-te,4,1.06%
TC2_gui_complete.csv,v%pr_3,-et,2,0.53%
