Headword,Tag,Ending,Count,Percent
pleien,v%ppl,-ed,1,50.00%
pleien,v%ppl,-d,1,50.00%
pleien,v%imp,-e,1,100.00%
pleien,v%pr_2,-e,2,100.00%
pleien,v%pt_pl,-de,3,100.00%
pleien,v%pr_3,-eth,3,100.00%
pleien,v%pr_1,-e,2,100.00%
pleien,v%prp_abs,-e,1,100.00%
pleien,v1#adj%prp,-e,1,100.00%
devisen,v%pr_1,-e,8,100.00%
devisen,v%inf,-e,78,96.30%
devisen,v%inf,-en,3,3.70%
devisen,v%pr_pl,-e,2,100.00%
devisen,v%pr_2,-t,2,100.00%
devisen,v%pr_3,-eth,2,100.00%
riden,v%inf,-de,39,90.70%
riden,v%inf,-en,4,9.30%
riden,v%pr_pl,-de,8,50.00%
riden,v%pr_pl,-en,8,50.00%
riden,v%pr_3,-eth,8,53.33%
riden,v%pr_3,-t,7,46.67%
riden,v%prp_abs,-e,3,75.00%
riden,v%prp_abs,other,1,25.00%
riden,v%ppl,-en,3,100.00%
riden,v%imp,-d,2,66.67%
riden,v%imp,-de,1,33.33%
riden,v%pt_3,-d,13,100.00%
riden,v%pr_2,-t,1,100.00%
riden,v%pr_1,-de,1,100.00%
riden,v%pt_pl,-en,1,100.00%
bringen,v%pt_3,-te,25,86.21%
bringen,v%pt_3,-t,4,13.79%
bringen,v%inf,-e,37,77.08%
bringen,v%inf,-en,11,22.92%
bringen,v%ppl,-t,32,100.00%
bringen,v%pr_3,-eth,2,28.57%
bringen,v%pr_3,-e,4,57.14%
bringen,v%pr_3,other,1,14.29%
bringen,v%imp,other,3,60.00%
bringen,v%imp,-eth,2,40.00%
bringen,v%pr_1,-e,4,100.00%
bringen,v%pr_pl,-e,2,50.00%
bringen,v%pr_pl,-en,2,50.00%
bringen,v%ppl_abs,-t,1,100.00%
bringen,v%pt_pl,-en,2,66.67%
bringen,v%pt_pl,-te,1,33.33%
bringen,v%pr_2,other,1,100.00%
bringen,v%pt_2,-t,1,100.00%
leten,v%pr_1,-te,10,83.33%
leten,v%pr_1,-t,1,8.33%
leten,v%pr_1,-et,1,8.33%
leten,v%imp,-t,148,91.36%
leten,v%imp,-et,10,6.17%
leten,v%imp,-eth,1,0.62%
leten,v%imp,-e,1,0.62%
leten,v%imp,-te,2,1.23%
leten,v%pt_3,-et,32,100.00%
leten,v%pt_pl,-te,3,75.00%
leten,v%pt_pl,-en,1,25.00%
leten,v%pr_pl,-te,2,100.00%
leten,v%pt_1,-et,1,100.00%
leten,v%inf,-te,11,78.57%
leten,v%inf,-en,3,21.43%
leten,v%ppl,-t,1,50.00%
leten,v%ppl,-en,1,50.00%
