headword,forms,following_rules,violating_rules,total,compliance_pct
shitten,"['shetten', 'shette', 'shet']",15,1,16,93.75
shiveren,['shiveren'],1,0,1,100.0
shorten,['shorte'],3,0,3,100.0
shouten,['shoute'],2,0,2,100.0
shoutinge,"['shouting', 'shoutinge', 'showting']",1,2,3,33.33
shouven,"['shof', 'shove', 'shoof']",4,0,4,100.0
shreden,['shredde'],1,0,1,100.0
shreuen,"['shrew', 'shrewe']",6,0,6,100.0
shrinen,['shrined'],1,0,1,100.0
shrinken,['shrinke'],1,0,1,100.0
shriven,"['shrive', 'shriven']",3,0,3,100.0
siften,['sifted'],1,0,1,100.0
sighen,['sighed'],1,0,1,100.0
signifien,"['signified', 'signifie']",5,0,5,100.0
sikinge,['sikinge'],1,0,1,100.0
singen,"['singe', 'singen', 'songen', 'sing', 'singeth', 'song', 'sang', 'songe', 'ysonge']",93,3,96,96.88
singinge,"['singinge', 'singing']",1,3,4,25.0
sinken,"['sinken', 'sonken', 'sinke']",11,0,11,100.0
sinnen,['sinne'],1,0,1,100.0
sippen,['sippe'],1,0,1,100.0
sitten,"['satte', 'sitte', 'sitteth', 'set', 'seet', 'sittest', 'sate', 'sat', 'seten', 'sitten', 'sete', 'sit']",123,2,125,98.4
sittinge,['sitting'],0,4,4,0.0
skippen,"['skipte', 'skippe']",4,0,4,100.0
skriken,"['shrighte', 'shright', 'skriked']",5,1,6,83.33
slen,"['sle', 'slen', 'slain', 'slee', 'sleeth', 'slawen', 'yslawe', 'slow', 'sleen', 'slawe', 'yslain', 'slough', 'slaine', 'slowe', 'sleest']",144,0,144,100.0
slepen,"['slepeth', 'sleep', 'slepte', 'slept', 'slepen', 'slepe', 'slepten']",67,2,69,97.1
slepinge,"['slepinge', 'sleping']",2,2,4,50.0
sliden,['slide'],4,0,4,100.0
slingen,['slong'],1,0,1,100.0
slinken,['slinke'],1,0,1,100.0
slitten,['slitte'],1,0,1,100.0
slomberinge,['slomberinge'],1,0,1,100.0
smellen,"['smellest', 'smelle', 'smellen']",4,0,4,100.0
smellinge,['smellinge'],1,0,1,100.0
smerten,"['smerteth', 'smerte']",19,0,19,100.0
smilen,"['smiled', 'smilen', 'smile']",8,0,8,100.0
smilinge,['smiling'],0,1,1,0.0
smiten,"['smit', 'smite', 'smiteth', 'smiten', 'smoot']",30,1,31,96.77
sneuen,['snewed'],1,0,1,100.0
snibben,['snibben'],1,0,1,100.0
sobbinge,['sobbinge'],1,0,1,100.0
socouren,['socouren'],1,0,1,100.0
sojournen,"['sojurne', 'sojorneth', 'sojorne', 'sojourne']",6,0,6,100.0
solasen,['solace'],3,0,3,100.0
somnen,"['somoned', 'sompne', 'somne']",3,0,3,100.0
sorwen,"['sorwe', 'sorwen', 'sorwed', 'sorweth', 'sorwest']",10,0,10,100.0
sorwinge,['sorwinge'],1,0,1,100.0
souken,"['souke', 'souked']",2,0,2,100.0
soulen,['sowled'],1,0,1,100.0
sounen,"['sowne', 'sownen', 'sowned', 'souned', 'souneth', 'sounen', 'soune']",9,1,10,90.0
sparen,"['spare', 'spared', 'yspared']",15,1,16,93.75
speden,"['spedde', 'spedden', 'speede', 'sped', 'spede']",35,0,35,100.0
speken,"['spek', 'spake', 'spoken', 'spekest', 'speketh', 'spaken', 'speken', 'spoke', 'spak', 'speke']",260,0,260,100.0
spekinge,['speking'],0,3,3,0.0
spenden,"['spendeth', 'spenden', 'spent', 'spente', 'spende']",19,0,19,100.0
spillen,"['spilt', 'spille']",9,0,9,100.0
spinnen,['sponne'],1,0,1,100.0
spinninge,['spinning'],0,1,1,0.0
spotten,['spotted'],1,0,1,100.0
spousen,['spoused'],1,0,1,100.0
spreden,"['spredeth', 'spreden', 'spradde', 'sprad', 'sprede']",10,0,10,100.0
sprengen,['spreind'],1,0,1,100.0
springen,"['springeth', 'springen', 'spronge', 'yspronge', 'sprong', 'springe', 'sprang']",21,0,21,100.0
spurnen,"['sporneth', 'sporned', 'spurne']",3,0,3,100.0
squieren,['squiereth'],1,0,1,100.0
stablishen,['stablissed'],1,0,1,100.0
stalken,"['stalke', 'stalketh', 'stalked']",4,0,4,100.0
stampen,['stampe'],1,0,1,100.0
staren,['stare'],4,0,4,100.0
stelen,"['stoln', 'stelen', 'stal', 'stole', 'stele', 'staale', 'stale']",25,0,25,100.0
stellifien,['stellifie'],2,0,2,100.0
stemen,['stemed'],1,0,1,100.0
steppen,['stapen'],1,0,1,100.0
sterten,"['stirt', 'stert', 'sterten', 'stirte', 'sterte']",34,0,34,100.0
sterven,"['sterve', 'sterven', 'starf', 'storven']",38,0,38,100.0
stiken,"['stiketh', 'stiked', 'stak', 'ystiked']",4,0,4,100.0
stingen,"['stinge', 'stingeth', 'stongen']",4,0,4,100.0
stinken,"['stinketh', 'stinken']",2,0,2,100.0
stinten,"['stenten', 'stinten', 'stent', 'stint', 'stinte', 'stinted', 'stente']",45,0,45,100.0
stiren,"['stere', 'stired']",4,0,4,100.0
stomblen,['stomblen'],1,0,1,100.0
stoppen,"['stoppen', 'stopped']",3,0,3,100.0
storen,['store'],1,0,1,100.0
stoupen,"['stoupeth', 'stoupe']",2,0,2,100.0
stranglinge,['strangling'],0,1,1,0.0
strecchen,"['streighte', 'strecche', 'straughte']",6,0,6,100.0
stremen,['stremeden'],1,0,1,100.0
strepen,"['strepe', 'strepen', 'strepeth']",7,0,7,100.0
streuen,['strawe'],1,0,1,100.0
striken,['striken'],1,0,1,100.0
striven,"['strof', 'striveth', 'strive', 'stroof']",9,0,9,100.0
strivinge,['striving'],0,2,2,0.0
strogelen,"['strogelest', 'strugle']",3,0,3,100.0
stroken,"['stroketh', 'stroke']",4,0,4,100.0
strouten,['strouted'],1,0,1,100.0
studien,"['studieth', 'studie']",3,0,3,100.0
studiinge,['studying'],0,2,2,0.0
subliminge,['subliming'],0,1,1,0.0
succeden,"['succede', 'succedeth']",2,0,2,100.0
sufferen,"['suffred', 'ysuffred', 'suffre', 'suffreth', 'suffrest', 'suffren']",44,1,45,97.78
suffisen,"['sufficeth', 'suffise', 'suffisen', 'suffised', 'suffiseth']",35,0,35,100.0
sugren,['sucred'],1,0,1,100.0
supposen,"['supposed', 'suppose']",11,0,11,100.0
supposinge,"['supposinge', 'supposing']",1,1,2,50.0
surmounten,"['surmountede', 'sourmounteth']",2,0,2,100.0
sustenen,['sustene'],6,0,6,100.0
swappen,"['swapte', 'swappe']",3,0,3,100.0
swarmen,['swarmeth'],1,0,1,100.0
swellen,"['swelle', 'swal', 'swelleth']",5,0,5,100.0
swelten,['swelte'],4,0,4,100.0
swepen,"['swepe', 'ysweped', 'sweep']",2,1,3,66.67
sweren,"['swere', 'swoor', 'swor', 'ysworn', 'sworen', 'sworn', 'swore', 'swer', 'yswore', 'swereth']",75,2,77,97.4
sweringe,['swering'],0,6,6,0.0
swimmen,"['swommen', 'swimmen', 'swimme']",4,0,4,100.0
swinken,"['swinken', 'swinke', 'swonken']",9,0,9,100.0
swiven,"['swived', 'swive']",5,0,5,100.0
swolwen,"['swalowe', 'swelwe']",2,0,2,100.0
swounen,"['swowned', 'swowneth', 'swouned']",8,0,8,100.0
swouninge,"['swowninge', 'swowning']",1,2,3,33.33
taken,"['i', 'tok', 'tooke', 'toke', 'take', 'tak', 'taken', 'taak', 'taa', 'taketh', 'took']",261,4,265,98.49
talen,"['talen', 'tale']",3,0,3,100.0
talken,['talke'],1,0,1,100.0
tapeten,['tapite'],1,0,1,100.0
tasten,['tasted'],1,0,1,100.0
techen,"['taughte', 'techen', 'taught', 'teche', 'techeth']",46,0,46,100.0
techinge,['teching'],0,1,1,0.0
teien,['yteid'],1,0,1,100.0
tellen,"['telles', 'tolde', 'telle', 'told', 'tellen', 'telleth', 'tald', 'tel', 'tolden', 'ytolde', 'tell']",443,13,456,97.15
tempren,"['tempreth', 'tempred']",3,0,3,100.0
tempten,"['tempte', 'tempted', 'tempteth']",9,0,9,100.0
terminen,['termine'],1,0,1,100.0
thakken,"['thakked', 'thakketh']",2,0,2,100.0
thanken,"['thanketh', 'thanke', 'ythanked', 'thonken', 'thanken', 'thonked', 'thonke', 'thonketh', 'thank', 'thanked', 'ythonked']",49,0,49,100.0
then,['thee'],12,0,12,100.0
thirlen,['thirled'],2,0,2,100.0
thirsten,"['thursted', 'thursteth']",2,0,2,100.0
tholen,['tholed'],1,0,1,100.0
thrallen,"['thrallen', 'thralle']",2,0,2,100.0
threpen,['threpe'],1,0,1,100.0
threshen,['thresshe'],1,0,1,100.0
thresten,"['thriste', 'thraste', 'threste']",6,0,6,100.0
thringen,"['thringe', 'throng']",2,0,2,100.0
thriven,"['thrive', 'thriven']",20,0,20,100.0
thurven,"['dorste', 'thar']",8,0,8,100.0
thwiten,['thwite'],1,0,1,100.0
tiden,"['tides', 'tit', 'tid']",6,0,6,100.0
tikelen,['tikleth'],1,0,1,100.0
tirven,"['terve', 'terved']",2,0,2,100.0
titering,['titering'],0,1,1,0.0
to-shiveren,['toshivered'],1,0,1,100.0
tobreken,"['tobreketh', 'tobroke']",3,0,3,100.0
tobresten,"['tobrosten', 'tobreste']",4,0,4,100.0
tocleven,['tocleve'],1,0,1,100.0
todashen,['todasshed'],1,0,1,100.0
toheuen,['tohewen'],2,0,2,100.0
tokninge,"['tokning', 'tokening', 'tokninge']",1,3,4,25.0
tomelten,['tomelte'],1,0,1,100.0
torasen,['torace'],1,0,1,100.0
torenden,"['torent', 'torente', 'torende']",7,0,7,100.0
tormenten,"['tormente', 'tormenteth']",2,0,2,100.0
tormentinge,['tormentinge'],1,0,1,100.0
toscateren,['toscatered'],1,0,1,100.0
toshreden,['toshrede'],1,0,1,100.0
tosterten,['tosterte'],1,0,1,100.0
toteren,['totere'],1,0,1,100.0
touchen,"['touchen', 'touched', 'touche', 'toucheth', 'touch', 'touchede']",13,1,14,92.86
tourneiinge,"['tourneyinge', 'turneyinge']",2,0,2,100.0
tracen,['trace'],1,0,1,100.0
transfiguren,['transfigure'],1,0,1,100.0
translaten,['translated'],1,0,1,100.0
travailen,['travaille'],1,0,1,100.0
treden,"['troden', 'tret', 'trede']",3,0,3,100.0
trespassen,"['trespace', 'trespasse']",4,0,4,100.0
treten,"['trete', 'treten']",13,0,13,100.0
triklen,['trikled'],0,1,1,0.0
trippen,['trippe'],2,0,2,100.0
trompen,"['trumpe', 'tromped', 'trumpen']",5,0,5,100.0
trotten,['trotteth'],1,0,1,100.0
troublen,['troublen'],1,0,1,100.0
trouen,"['troweth', 'trowe', 'trowed', 'trowest', 'trowen', 'trow']",79,2,81,97.53
trussen,['trussed'],1,0,1,100.0
trusten,"['tristest', 'triste', 'trusten', 'trusted', 'truste']",20,0,20,100.0
tuken,['tukked'],1,0,1,100.0
turnen,"['torneth', 'turnen', 'turnede', 'yturned', 'turneth', 'turned', 'turne', 'tornede', 'tornen', 'torned', 'tourned', 'tourne', 'torne', 'tornest']",59,1,60,98.33
turninge,"['turning', 'turninge']",1,1,2,50.0
twicchen,"['twighte', 'twight']",3,0,3,100.0
twinen,['twine'],1,0,1,100.0
twinklen,['twinkled'],0,1,1,0.0
twisten,"['twiste', 'twist']",7,0,7,100.0
unbinden,['unbinde'],2,0,2,100.0
unbirien,['unburied'],1,0,1,100.0
uncouplinge,['uncouplinge'],1,0,1,100.0
undernimen,['undernom'],1,0,1,100.0
undersporen,['underspore'],1,0,1,100.0
understonden,"['understondeth', 'understonde', 'understood', 'understoode', 'understode']",31,0,31,100.0
understondinge,"['understondinge', 'understonding']",1,1,2,50.0
undertaken,"['undertak', 'undertaketh', 'undertake']",15,1,16,93.75
undon,"['undide', 'undoth', 'undon']",2,1,3,66.67
unfeteren,['unfettre'],1,0,1,100.0
unhorsen,['unhorsed'],1,0,1,100.0
unknouen,"['unknowen', 'unknowe']",5,0,5,100.0
unshethen,['unshethe'],1,0,1,100.0
unshitten,['unshette'],1,0,1,100.0
unswellen,['unswelle'],2,0,2,100.0
unwreien,['unwrie'],1,0,1,100.0
usen,"['use', 'useth', 'usen', 'used']",19,2,21,90.48
vanishen,"['vanish', 'vanisshed', 'vanishe']",4,0,4,100.0
vanishinge,['vanisshinge'],1,0,1,100.0
varien,['varie'],1,0,1,100.0
venquishen,['venquisseth'],1,0,1,100.0
ventosinge,['ventusinge'],1,0,1,100.0
verifien,['verifie'],1,0,1,100.0
vernishen,['vernisshed'],1,0,1,100.0
visagen,['visage'],1,0,1,100.0
visiten,"['visite', 'visited']",8,0,8,100.0
visitinge,['visitinge'],1,0,1,100.0
vitailen,['vitailled'],1,0,1,100.0
voiden,"['voiden', 'voided', 'yvoided']",10,1,11,90.91
vouchen,['vouche'],2,0,2,100.0
vouchen_sauf,['vouchesauf'],1,2,3,33.33
waden,"['waden', 'wade']",3,0,3,100.0
waggen,['wagges'],1,0,1,100.0
wagginge,['wagginge'],1,0,1,100.0
waimentinge,"['waimenting', 'weimentinge', 'waimentinge']",2,1,3,66.67
waiten,"['waite', 'waiten', 'waiteth', 'waited', 'waitede']",14,0,14,100.0
waitinge,['waiting'],0,1,1,0.0
waken,"['waketh', 'wake', 'wook', 'waked']",23,0,23,100.0
wakinge,['wakinge'],1,0,1,100.0
waknen,['wakned'],1,0,1,100.0
walkinge,"['walkinge', 'walking']",1,2,3,33.33
walwen,"['walwe', 'walweth']",4,0,4,100.0
wanen,"['wane', 'wanie']",4,0,4,100.0
wanten,"['wanteth', 'wante']",2,0,2,100.0
wantinge,['wanting'],0,1,1,0.0
waranten,['warante'],1,0,1,100.0
warien,"['warie', 'warien']",2,0,2,100.0
warishen,"['warisshed', 'warice', 'warished']",5,0,5,100.0
warmen,['warmen'],1,0,1,100.0
washen,"['wesshen', 'wessh', 'wasshen']",3,0,3,100.0
wasten,"['wasteth', 'wasted', 'wasten']",8,0,8,100.0
watringe,['watering'],0,1,1,0.0
wedden,"['wed', 'weddede', 'ywedded', 'wedde', 'wedded', 'wedden']",51,1,52,98.08
weddinge,"['wedding', 'weddinge']",2,10,12,16.67
weiken,['waiken'],1,0,1,100.0
weilen,"['wailleth', 'wailed', 'waile', 'waille', 'waileth', 'wailest']",11,0,11,100.0
welden,"['welte', 'welden', 'welde']",4,0,4,100.0
wellen,['welle'],2,0,2,100.0
wenden,"['i', 'wenten', 'wendest', 'went', 'wende', 'wendeth', 'wente', 'wenden']",208,1,209,99.52
wendinge,['wending'],0,3,3,0.0
weninge,['weninge'],1,0,1,100.0
wepen,"['wepen', 'weep', 'wopen', 'wepten', 'wepe', 'wepeth', 'wept', 'wepte', 'weepe']",76,0,76,100.0
wepinge,"['weping', 'wepinge']",2,10,12,16.67
werien,['werieth'],1,0,1,100.0
werken,"['wroghte', 'wirche', 'wroght', 'werche', 'werken', 'worcheth', 'wroughten', 'wroughte', 'werchen', 'wroghten', 'werkes', 'wrought', 'werke']",77,1,78,98.72
werkinge,"['werking', 'werkinge', 'wirking']",1,6,7,14.29
wernen,"['werne', 'werned']",5,0,5,100.0
werreien,"['werreien', 'werreyed', 'werreied', 'werreie']",5,0,5,100.0
westren,['westren'],1,0,1,100.0
weten,"['ywet', 'wete', 'wette']",4,0,4,100.0
whinen,['whine'],1,0,1,100.0
whirlen,"['whirle', 'whirleth']",2,0,2,100.0
whispering,['whispringe'],1,0,1,100.0
whistlinge,['whistelinge'],1,0,1,100.0
whiten,['whiten'],1,0,1,100.0
willen,"['wolen', 'willeth', 'wol', 'wolt', 'wolde', 'woldest', 'wole', 'wilt', 'wille', 'wold', 'wolden', 'wil']",1029,94,1123,91.63
willinge,['willing'],0,1,1,0.0
wilnen,"['wilned', 'wilnen', 'wilne', 'wilneth', 'wilnest']",9,0,9,100.0
win-yevinge,['winyeving'],0,1,1,0.0
winken,"['winke', 'winketh']",7,0,7,100.0
winnen,"['winnen', 'wonne', 'wanne', 'win', 'winne', 'wonnen', 'wan']",67,2,69,97.1
wipen,"['wipen', 'wipe', 'wiped']",3,0,3,100.0
wissen,['wisse'],5,0,5,100.0
withdrauen,['withdrawe'],2,0,2,100.0
withholden,['withholde'],3,0,3,100.0
withseien,"['withseide', 'withseye', 'withseyn']",4,1,5,80.0
withstonden,"['withstonde', 'withstode', 'withstandeth']",9,0,9,100.0
witnessen,['witnessen'],1,0,1,100.0
witnessinge,['witnessing'],0,1,1,0.0
wiven,['wive'],2,0,2,100.0
wlispen,['lipsed'],1,0,1,100.0
wondren,"['wondreth', 'wondred', 'wondre', 'wondreden', 'wondren']",19,2,21,90.48
wondringe,"['wonderinge', 'wondring']",1,2,3,33.33
worshipen,['worshipe'],3,0,3,100.0
worthen,"['worth', 'worthe', 'worthen']",9,0,9,100.0
wouen,"['wowe', 'woweth']",4,0,4,100.0
wounden,"['wounded', 'wounde']",6,0,6,100.0
wrappen,"['wrappe', 'wrapped']",4,0,4,100.0
wreien,['wreye'],3,0,3,100.0
wreken,"['ywroke', 'wreken', 'wroken', 'wreke', 'wrak']",13,0,13,100.0
wresten,['wreste'],1,0,1,100.0
wrestlen,"['wrastle', 'wrastleth', 'wrastlen']",3,0,3,100.0
wrestling,"['wrastling', 'wrastlinge']",1,2,3,33.33
wringen,"['wringeth', 'wrong', 'wringe']",9,0,9,100.0
writen,"['ywrite', 'writ', 'writest', 'wrot', 'ywriten', 'writen', 'wroot', 'write', 'writeth', 'written']",92,0,92,100.0
writhen,"['writhe', 'writhen']",2,0,2,100.0
writhing,['writhing'],0,1,1,0.0
writinge,"['writinge', 'writing']",1,3,4,25.0
yeden,"['yeden', 'yede']",4,0,4,100.0
yelden,"['yelt', 'yolden', 'yelden', 'yelde']",10,0,10,100.0
yelding,['yeldinge'],1,0,1,100.0
yellen,"['yelleden', 'yolle']",2,0,2,100.0
yelpen,['yelpe'],2,0,2,100.0
yernen,['yerne'],3,0,3,100.0
yeven,"['give', 'yaven', 'yeveth', 'yif', 'yaf', 'yeve', 'gaf', 'yiveth', 'iyive', 'yiven', 'yevest', 'yive', 'yeven', 'yave']",168,2,170,98.82
yexen,['yexeth'],1,0,1,100.0
yicchen,['icched'],1,0,1,100.0
