infinitive,headword,category,known_strong,ppl_strong_forms,ppl_weak_forms,ppl_unclear_forms,pt_strong_forms,pt_weak_forms,pt_unclear_forms,ppl_strong_count,ppl_weak_count,ppl_unclear_count,pt_strong_count,pt_weak_count,pt_unclear_count,total_occurrences
henten,henten,weak,False,,hent(10),,,hente(30); hent(2),,0,10,0,0,32,0,42
herkenen,herkenen,weak,False,,herkned(2),,,herkned(6),,0,2,0,0,6,0,8
heten,heten,weak,False,,,,,het(1); hette(1),,0,0,0,0,2,0,2
hien,hien,weak,False,,hyed(2),,,hied(1),,0,2,0,0,1,0,3
hitten,hitten,weak,False,,hit(1),,,hitte(5),,0,1,0,0,5,0,6
honouren,honouren,weak,False,,honoured(9); honured(3),,,,,0,12,0,0,0,0,12
hoven,hoven,weak,False,,,,,hoved(1),,0,0,0,0,1,0,1
hunten,hunten,weak,False,,hunted(4),,,hunted(4),,0,4,0,0,4,0,8
hurten,hurten,weak,False,,hurt(16); yhurt(2),,,hurte(4); hurt(2),,0,18,0,0,6,0,24
ibringen,ibringen,weak,False,,ybrought(7); ibrought(3); ybroght(6),,,,,0,16,0,0,0,0,16
igreten,igreten,weak,False,,ygret(1),,,,,0,1,0,0,0,0,1
ikissen,ikissen,weak,False,,ykist(2),,,,,0,2,0,0,0,0,2
ileden,ileden,weak,False,,ylad(2),,,,,0,2,0,0,0,0,2
ileien,ileien,weak,False,,yleid(1); yleyd(1),,,,,0,2,0,0,0,0,2
imaken,imaken,weak,False,,ymaad(4); ymaked(7); imaked(1); ymad(1),,,,,0,13,0,0,0,0,13
imeten,imeten,weak,False,,ymet(2),,,,,0,2,0,0,0,0,2
innen,innen,weak,False,,inned(1),,,,,0,1,0,0,0,0,1
ipassen,ipassen,weak,False,,ypassed(2),,,,,0,2,0,0,0,0,2
ireden,ireden,weak,False,,yred(2),,,,,0,2,0,0,0,0,2
isenden,isenden,weak,False,,ysent(2),,,,,0,2,0,0,0,0,2
isetten,isetten,weak,False,,yset(2); iset(2),,,,,0,4,0,0,0,0,4
isheuen,isheuen,weak,False,,yshewed(2),,,,,0,2,0,0,0,0,2
itechen,itechen,weak,False,,ytaught(1),,,,,0,1,0,0,0,0,1
iturnen,iturnen,weak,False,,yturned(4),,,,,0,4,0,0,0,0,4
japen,japen,weak,False,,japed(2),,,japed(1),,0,2,0,0,1,0,3
joinen,joinen,weak,False,,joined(1); joyned(2),,,joined(1); joyned(1),,0,3,0,0,2,0,5
jugen,jugen,weak,False,,juged(3); jugged(1),,,,,0,4,0,0,0,0,4
kemben,kemben,weak,False,,kembd(7),,,kembde(1),,0,7,0,0,1,0,8
kepen,kepen,weak,False,,kept(21),,,kepte(25); kept(1),,0,21,0,0,26,0,47
kiken,kiken,weak,False,,kiked(2),,,,,0,2,0,0,0,0,2
kindelen,kindelen,weak,False,,kindled(1); kyndled(1),,,,,0,2,0,0,0,0,2
kithen,kithen,weak,False,,kithed(2),,,kidde(1),,0,2,0,0,1,0,3
knelen,knelen,weak,False,,,,,kneled(4),,0,0,0,0,4,0,4
knitten,knitten,weak,False,,knit(5); knyt(6),,,,,0,11,0,0,0,0,11
knokken,knokken,weak,False,,,,,knokked(3),,0,0,0,0,3,0,3
labouren,labouren,weak,False,,laboured(3),,,laboured(2),,0,3,0,0,2,0,5
lakken,lakken,weak,False,,,,,lakked(15); lakkede(4),,0,0,0,0,19,0,19
lasen,lasen,weak,False,,laced(2),,,,,0,2,0,0,0,0,2
lasten,lasten,weak,False,,,,,lasted(2),,0,0,0,0,2,0,2
lenen,lenen,weak,False,,,,,lente(2),,0,0,0,0,2,0,2
lepen,lepen,weak,False,,,,,lepte(2),leep(4),0,0,0,0,2,4,6
lernen,lernen,weak,False,,lerned(13),,,,,0,13,0,0,0,0,13
letten,letten,weak,False,,let(5),,,letted(4); lette(2),,0,5,0,0,6,0,11
lighten,lighten,weak,False,,lighted(1),,,lighte(2),,0,1,0,0,2,0,3
liknen,liknen,weak,False,,likned(2),,,,,0,2,0,0,0,0,2
limen,limen,weak,False,,ylimed(1); ylymed(1),,,,,0,2,0,0,0,0,2
lissen,lissen,weak,False,,ylissed(2); lissed(2),,,,,0,4,0,0,0,0,4
listen,listen,weak,False,,,,,liste(15); list(6); leste(3); lyst(1); lyste(2); lest(1),,0,0,0,0,28,0,28
loggen,loggen,weak,False,,ylogged(2); logged(4),,,,,0,6,0,0,0,0,6
loken,loken,weak,False,,loked(4); looked(1),,,loked(22); looked(20),,0,5,0,0,42,0,47
longen,longen,weak,False,,,,,longed(2),,0,0,0,0,2,0,2
loven,loven,weak,False,,loved(24); yloved(1); iloved(1),,,loved(81); lovede(17); lovedest(2),,0,26,0,0,100,0,126
lullen,lullen,weak,False,,,,,lulled(1),,0,0,0,0,1,0,1
lusten,lusten,weak,False,,,,,luste(3); lust(2),,0,0,0,0,5,0,5
marien,marien,weak,False,,,,,maried(1); maryed(1),,0,0,0,0,2,0,2
marken,marken,weak,False,,marked(2); ymarked(2),,,,,0,4,0,0,0,0,4
masken,masken,weak,False,,ymasked(2),,,,,0,2,0,0,0,0,2
medlen,medlen,weak,False,,ymedled(1); imedled(1),,,,,0,2,0,0,0,0,2
menen,menen,weak,False,,ment(2),,,mente(12); ment(1),,0,2,0,0,13,0,15
misaccounten,misaccounten,weak,False,,misacounted(2),,,,,0,2,0,0,0,0,2
mishappen,mishappen,weak,False,,myshapped(1),,,,,0,1,0,0,0,0,1
misseien,misseien,weak,False,,missaid(1); myssayd(1); misseid(1); mysseyd(1),,,,,0,4,0,0,0,0,4
missen,missen,weak,False,,missed(2),,,missed(2),,0,2,0,0,2,0,4
mistrusten,mistrusten,weak,False,,mistrusted(1); mystrusted(1),,,,,0,2,0,0,0,0,2
mortheren,mortheren,weak,False,,mordred(14),,,,,0,14,0,0,0,0,14
moten,moten,weak,False,,,,,moste(131); most(15); mot(1); mooste(1),,0,0,0,0,148,0,148
musen,musen,weak,False,,ymused(1); imused(1),,,,,0,2,0,0,0,0,2
neden,neden,weak,False,,,,,neded(10); nedede(5),,0,0,0,0,15,0,15
