Source_File,Headword,Tag,Ending,Count,Percent
TC4_gui_complete.csv,letten,v%pr_3,-et,1,100.00%
TC4_gui_complete.csv,desiren,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,desiren,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,quiten,v%pt_pl,-te,1,100.00%
TC4_gui_complete.csv,quiten,v%inf,-te,1,100.00%
TC4_gui_complete.csv,outen,v%inf,-t,1,100.00%
TC4_gui_complete.csv,pronouncen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,speden,v%pt_3,-de,1,100.00%
TC4_gui_complete.csv,speden,v%pr_3,-ede,1,100.00%
TC4_gui_complete.csv,lien,v%pr_3,other,6,100.00%
TC4_gui_complete.csv,lien,v%inf,-en,1,100.00%
TC4_gui_complete.csv,lien,v%pt_3,other,2,100.00%
TC4_gui_complete.csv,disposen,v%ppl_abs,-ed,1,100.00%
TC4_gui_complete.csv,sitten,v%pt_3,-t,1,100.00%
TC4_gui_complete.csv,sitten,v%pr_3,-te,1,33.33%
TC4_gui_complete.csv,sitten,v%pr_3,-t,2,66.67%
TC4_gui_complete.csv,sitten,v%inf,-en,1,100.00%
TC4_gui_complete.csv,risen,v%pr_3,-t,2,100.00%
TC4_gui_complete.csv,hepen,v#adj%ppl,-ed,1,100.00%
TC4_gui_complete.csv,biginnen,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,biginnen,v%pt_3,-n,2,100.00%
TC4_gui_complete.csv,darten,v%ppl_abs,-ed,1,100.00%
TC4_gui_complete.csv,swappen,v%pt_3,-te,1,100.00%
TC4_gui_complete.csv,acursen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,shapen,v%pt_3,other,2,100.00%
TC4_gui_complete.csv,shapen,v%pr_3,other,1,100.00%
TC4_gui_complete.csv,shapen,v%imp,-eth,2,100.00%
TC4_gui_complete.csv,leien,v%pt_3,-de,1,100.00%
TC4_gui_complete.csv,bireven,v%pt_3,-t,1,100.00%
TC4_gui_complete.csv,slen,v%ppl,-n,2,66.67%
TC4_gui_complete.csv,slen,v%ppl,-e,1,33.33%
TC4_gui_complete.csv,slen,v%pr_2,-est,2,100.00%
TC4_gui_complete.csv,slen,v%inf,-en,3,100.00%
