headword,classification,notes,evidence,total_occurrences
moulen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%ppl(-ed:2),4
mounten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
multiplien,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:16); v%pr_3(-e:4); v%pr_pl(-e:2); v%prp_abs(other:1, -e:1)",24
murmuren,unknown,"classified by morphological evidence on January 27, 2026",v%pt_pl(-en:2),2
nailen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%prp_abs(-e:2),4
nappen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
neighen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:4),4
neuen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pt_3(-ed:2),4
nevenen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:13); v%pr_pl(-e:2),15
nighten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
nimen,strong,"classified by morphological evidence on January 27, 2026","v%ppl(-e:10, -en:2); v%pt_3(other:2)",14
nodden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
not-writen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:1),1
notifien,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:2),4
obeishen,unknown,"classified by morphological evidence on January 27, 2026","v#adj%prp(other:1, -e:1)",2
observen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
occupien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-eth:8),10
of-shouven,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2),2
ofcasten,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2),2
offren,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:4, -eth:2); v%inf(-e:2, -en:2); v%ppl_abs(-ed:2); v%pr_pl(-e:2, -en:2)",16
oftaken,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-en:1),1
opposen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
outbresten,unknown,"classified by morphological evidence on January 27, 2026",v(-e:1); v%inf(-e:1),2
outbringen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:1),1
outcacchen,weak,"classified by morphological evidence on January 27, 2026",v%pt_3(-e:1),1
outcasten,weak,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-t:1); v%ppl(-t:1),2
outen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:3, -t:2); v%pr_3(-t:1, -e:1); v%pr_pl(-e:2)",9
outraien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
outrennen,unknown,"classified by morphological evidence on January 27, 2026",v$pt_3(other:1),1
outsterten,weak,"classified by morphological evidence on January 27, 2026",v%pt_3(-e:1),1
outwenden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:1),1
overbiden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
overblouen,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2),2
overcasten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
overcomen,strong,"classified by morphological evidence on January 27, 2026","v%inf(-e:2); v%ppl(-e:14); v%pr_3(-eth:1, other:1); v%pt_3(other:2)",20
overgon,unknown,"classified by morphological evidence on January 27, 2026","v%inf(vowel:2, -e:1, other:1)",4
overladen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
overmacchen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
overrechen,weak,"classified by morphological evidence on January 27, 2026",v%pt_3(-e:2),2
overriden,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-en:1),1
overshaken,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:6),6
overskippen,weak,"classified by morphological evidence on January 27, 2026",v%pt_1(-e:2),2
overspringen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-e:2),2
overthrouen,strong,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%ppl(-e:4),8
pallen,unknown,"classified by morphological evidence on January 27, 2026",v1#adj%ppl(-ed:2),2
parten,weak,"classified by morphological evidence on January 27, 2026","v%inf(-en:8, -e:4); v%ppl(-ed:3); v%ppl_abs(-ed:4); v%pr_1(-t:1, -e:1); v%pr_2(-est:2); v%pr_3(-eth:2)",25
paven,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
pekken,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2),2
perishen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
perseveren,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%inf(-e:2); v%pr_3(-eth:2),6
perturben,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_pl(-en:2),4
pilen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:2); v1#adj%ppl(-ed:6),10
pinen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:2); v%pr_3(-eth:2),6
pleinten,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
pleten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
plicchen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:4); v%pt_3(-e:4),8
