Headword,Tag,Ending,Count,Percent
sufferen,v%pr_1,-e,1,100.00%
sufferen,v%pr_pl,-en,1,100.00%
sufferen,v%imp,-e,3,50.00%
sufferen,v%imp,-eth,3,50.00%
sufferen,v%pr_3,-eth,3,100.00%
sufferen,v%pt_pl,-ed,1,100.00%
loven,v%ppl,-ed,9,100.00%
loven,v%pr_pl,-en,10,76.92%
loven,v%pr_pl,-e,2,15.38%
loven,v%pr_pl,-eth,1,7.69%
loven,v%pt_3,-ede,3,10.00%
loven,v%pt_3,-ed,27,90.00%
loven,v%pr_3,-eth,27,100.00%
loven,v%inf,-en,6,28.57%
loven,v%inf,-e,15,71.43%
loven,v%pr_1,-e,15,100.00%
loven,v%pr_2,-est,5,100.00%
loven,v%pt_pl,-ed,2,100.00%
loven,v%pt_1,-ed,4,100.00%
loven,v%imp,-e,3,100.00%
loven,v%prp_abs,-ing,1,100.00%
hasten,v%imp,-eth,3,100.00%
hasten,v%inf,-te,2,66.67%
hasten,v%inf,-en,1,33.33%
hasten,v%pr_3,-eth,2,100.00%
helpen,v%pr_3,other,43,64.18%
helpen,v%pr_3,-eth,16,23.88%
helpen,v%pr_3,-e,8,11.94%
helpen,v%ppl,-en,8,100.00%
helpen,v%imp,other,26,89.66%
helpen,v%imp,-eth,3,10.34%
helpen,v%inf,-en,6,54.55%
helpen,v%inf,-e,5,45.45%
helpen,v%pr_pl,-en,1,100.00%
helpen,v%pt_3,other,1,100.00%
helpen,v%pt_1,other,1,100.00%
helpen,v%pr_2,other,1,100.00%
greven,v%pr_3,-eth,3,100.00%
greven,v%inf,-e,2,66.67%
greven,v%inf,-en,1,33.33%
greven,v%pt_3,-ed,1,100.00%
witen,v%pr_pl,-t,28,77.78%
witen,v%pr_pl,-te,3,8.33%
witen,v%pr_pl,-en,4,11.11%
witen,v%pr_pl,other,1,2.78%
witen,v%pt_3_neg,-te,17,94.44%
witen,v%pt_3_neg,-t,1,5.56%
witen,v%pr_2,-t,28,93.33%
witen,v%pr_2,-te,1,3.33%
witen,v%pr_2,-est,1,3.33%
witen,v%pr_1,-t,62,100.00%
witen,v%pr_3,-t,89,98.89%
witen,v%pr_3,-e,1,1.11%
witen,v%pt_3,-te,31,93.94%
witen,v%pt_3,-t,2,6.06%
witen,v%pr_1_neg,-t,36,97.30%
witen,v%pr_1_neg,other,1,2.70%
witen,v%inf,-en,4,44.44%
